sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
"They had a son, who was a dragoon, a big, handsome fellow. ",had,AFTER,"They had a pasture in the hills, and the hut was not like most of the herdsmen's huts; ",had,1,2,0,0
"They had a pasture in the hills, and the hut was not like most of the herdsmen's huts; ",had,BEFORE,"And whoever else had business in the woods at that time, noticed that the mountain folk had carried on its tricks with their herd. ",noticed,2,6,0,1
"And whoever else had business in the woods at that time, noticed that the mountain folk had carried on its tricks with their herd. ",noticed,AFTER,And among the mountain folk was a maiden who was so beautiful that her like had never been seen. ,seen,6,7,1,4
And among the mountain folk was a maiden who was so beautiful that her like had never been seen. ,seen,BEFORE,"The son had often heard tell of her, and one fall, when his parents had already come home from the mountain pasture, he put on his full uniform, saddled his service horse, thrust his pistols in the holsters, and thus rode up into the hills. ",rode,7,8,4,7
"The son had often heard tell of her, and one fall, when his parents had already come home from the mountain pasture, he put on his full uniform, saddled his service horse, thrust his pistols in the holsters, and thus rode up into the hills. ",rode,BEFORE,"When he rode toward the pasture, such a fire burned in the herdsman's hut that it lit up every road, and then he knew that the mountain folk were inside. ",rode,8,9,7,0
"When he rode toward the pasture, such a fire burned in the herdsman's hut that it lit up every road, and then he knew that the mountain folk were inside. ",rode,BEFORE,"So he tied his horse to a pine-tree, took a pistol from its holster, crept up to the hut, and peeped through the window. ",tied,9,10,0,0
"So he tied his horse to a pine-tree, took a pistol from its holster, crept up to the hut, and peeped through the window. ",tied,AFTER,"And there sat an old man and a woman who were quite crooked and shriveled up with age, and so unspeakably ugly that he had never seen anything like it in his life; ",seen,10,11,0,4
"And there sat an old man and a woman who were quite crooked and shriveled up with age, and so unspeakably ugly that he had never seen anything like it in his life; ",seen,BEFORE," but with them was a maiden, and she was so surpassingly beautiful that he fell in love with her at once, and felt that he could not live without her. ",felt,11,12,4,3
" but with them was a maiden, and she was so surpassingly beautiful that he fell in love with her at once, and felt that he could not live without her. ",felt,BEFORE,"And he could see that they had only just arrived, for everything was in disorder. ",see,12,14,3,1
"And he could see that they had only just arrived, for everything was in disorder. ",see,AFTER,"The maiden was busy washing the ugly old man, and the woman was building a fire under the great cheese-kettle on the hearth. ",washing,14,15,1,1
"The maiden was busy washing the ugly old man, and the woman was building a fire under the great cheese-kettle on the hearth. ",washing,BEFORE,"At that moment the dragoon flung open the door, and shot off his pistol right above the maiden's head, so that she tottered and fell to the ground. ",tottered,15,16,1,3
"At that moment the dragoon flung open the door, and shot off his pistol right above the maiden's head, so that she tottered and fell to the ground. ",tottered,BEFORE,"And then she grew every bit as ugly as she had been beautiful before, and she had a nose as long as a pistol-case. ",grew,16,17,3,0
"And then she grew every bit as ugly as she had been beautiful before, and she had a nose as long as a pistol-case. ",grew,BEFORE,"""Now you may take her, for now she belongs to you!"" ",take,17,18,0,1
"""Now you may take her, for now she belongs to you!"" ",take,BEFORE,said the old man. ,said,18,19,1,0
said the old man. ,said,AFTER,But the dragoon stood as though rooted to the spot; ,stood,19,20,0,0
But the dragoon stood as though rooted to the spot; ,stood,BEFORE," stood where he stood, and could not take a single step, either forward or backward. ",stood,20,21,0,0
" stood where he stood, and could not take a single step, either forward or backward. ",stood,BEFORE,Then the old man began to wash the girl; ,wash,21,22,0,1
Then the old man began to wash the girl; ,wash,BEFORE, and she looked a little better. ,looked,22,23,1,0
 and she looked a little better. ,looked,BEFORE," but she was not as handsome, and any one who said so would not have been telling the truth. ",telling,23,25,0,5
" but she was not as handsome, and any one who said so would not have been telling the truth. ",telling,BEFORE,"Take her up before you on your horse, and ride into town and marry her. ",marry,25,27,5,2
"Take her up before you on your horse, and ride into town and marry her. ",marry,BEFORE,And you need only set the table for us in the little room in the bake-house; ,set,27,28,2,1
And you need only set the table for us in the little room in the bake-house; ,set,BEFORE," for we do not want to be with the other wedding-guests,"" said the old monster, her father, ""but when the dishes make the round, you can stop in where we are."" ",said,28,29,1,3
" for we do not want to be with the other wedding-guests,"" said the old monster, her father, ""but when the dishes make the round, you can stop in where we are."" ",said,BEFORE,"He did not dare do anything else, and took her up before him on his horse, and made ready to marry her. ",marry,29,30,3,5
