sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
Once upon a time a lad who tended the cattle in the wood was eating his noon-tide meal in a clearing in the forest. ,eating,BEFORE,As he was sitting there he saw a rat run into a juniper-bush. ,sitting,0,1,2,1
As he was sitting there he saw a rat run into a juniper-bush. ,sitting,BEFORE,As he was sitting there he saw a rat run into a juniper-bush. ,saw,1,1,1,2
As he was sitting there he saw a rat run into a juniper-bush. ,saw,BEFORE,His curiosity led him to look for it. ,led,1,2,2,0
His curiosity led him to look for it. ,led,BEFORE,"As he bent over, down he went, head over heels, and fell asleep. ",went,2,3,0,1
"As he bent over, down he went, head over heels, and fell asleep. ",went,BEFORE,And he dreamed that he was going to find the princess on the Mount of the Golden Queen; ,dreamed,3,4,1,0
And he dreamed that he was going to find the princess on the Mount of the Golden Queen; ,dreamed,BEFORE,And he dreamed that he was going to find the princess on the Mount of the Golden Queen; ,find,4,4,0,3
And he dreamed that he was going to find the princess on the Mount of the Golden Queen; ,find,AFTER, but that he did not know the way. ,know,4,5,3,1
 but that he did not know the way. ,know,BEFORE,The following day he once more pastured his cattle in the wood. ,pastured,5,6,1,0
The following day he once more pastured his cattle in the wood. ,pastured,BEFORE,"When he came to the same clearing, and again ate his dinner there. ",ate,6,7,0,1
"When he came to the same clearing, and again ate his dinner there. ",ate,BEFORE,"And again he saw the rat and went to look for it, and again when he bent down he went head over heels, and fell fast asleep. ",saw,7,8,1,0
"And again he saw the rat and went to look for it, and again when he bent down he went head over heels, and fell fast asleep. ",saw,BEFORE,"And again he saw the rat and went to look for it, and again when he bent down he went head over heels, and fell fast asleep. ",went,8,8,0,4
"And again he saw the rat and went to look for it, and again when he bent down he went head over heels, and fell fast asleep. ",went,BEFORE,"And again he saw the rat and went to look for it, and again when he bent down he went head over heels, and fell fast asleep. ",fell,8,8,4,5
"And again he saw the rat and went to look for it, and again when he bent down he went head over heels, and fell fast asleep. ",fell,BEFORE,"And again he dreamed of the princess on the Mount of the Golden Queen, and that in order to get her he would need seventy pounds of iron and a pair of iron shoes. ",get,8,9,5,1
