clustered_names,coref_idx,name_mentions,pronoun_mentions,total,easy_name,gender,gender_certainty,importance
"Gopani/one Rei , a man of much cunning , who sought to discover whence sprang Gopani - Kufa 's power/O Gopani/Gopani - Kufa/Rei/Kufa",12,34,85,119,Gopani,male,1.0,primary
Insato,13,17,21,38,Insato,male,1.0,tertiary
Butou,18,3,24,27,Butou,male,1.0,tertiary
the king/The king,57,7,14,21,the king,male,1.0,tertiary
Sipao,15,16,2,18,Sipao,unknown,0.0,tertiary
the man/The man,26,3,11,14,the man,male,1.0,tertiary
the chief,96,3,9,12,the chief,male,1.0,tertiary
Shasasa,17,5,7,12,Shasasa,female,1.0,tertiary
the white man,98,2,9,11,the white man,male,1.0,tertiary
Zengi - mizi,14,9,1,10,Zengi - mizi,unknown,0.0,tertiary
the python,22,2,6,8,the python,unknown,0.0,tertiary
the antelope,21,3,5,8,the antelope,unknown,0.0,tertiary
the white men,105,5,2,7,the white men,male,1.0,tertiary
a man,31,3,3,6,a man,male,1.0,tertiary
white men,91,1,5,6,white men,male,1.0,tertiary
the people who were singing at their work in the fields--the people who were singing at their work in the fields,45,1,2,3,the people who were singing at their work in the fields's people who were singing at their work in the fields,group/nonbinary,1.0,tertiary
a man called Gopani - Kufa,19,1,2,3,a man called Gopani - Kufa,male,1.0,tertiary
Gopani- Kufa/O Gopani- Kufa,16,2,1,3,Gopani- Kufa,unknown,0.0,tertiary
men,42,3,0,3,men,male,1.0,tertiary
the young men,78,1,1,2,the young men,male,1.0,tertiary
Sipao--my daughter,137,2,0,2,Sipao's daughter,unknown,0.0,tertiary
the wasp,70,2,0,2,the wasp,unknown,0.0,tertiary
"Gopani/one Rei , a man of much cunning , who sought to discover whence sprang Gopani - Kufa 's power/O Gopani/Gopani - Kufa/Rei/Kufa--His wife/his wife",65,2,0,2,Gopani's wife,female,1.0,tertiary
the people of the new town,79,1,1,2,the people of the new town,group/nonbinary,1.0,tertiary
the people of Gopani,113,1,1,2,the people of Gopani,group/nonbinary,1.0,tertiary
O king,125,2,0,2,O king,male,1.0,tertiary
the people,48,2,0,2,the people,unknown,0.0,tertiary
the traitor,102,2,0,2,the traitor,unknown,0.0,tertiary
Butou--my father,143,2,0,2,Butou's father,male,1.0,tertiary
"Gopani/one Rei , a man of much cunning , who sought to discover whence sprang Gopani - Kufa 's power/O Gopani/Gopani - Kufa/Rei/Kufa--his daughter",88,2,0,2,Gopani's daughter,unknown,0.0,tertiary
a trusty servant named Butou,95,1,0,1,a trusty servant named Butou,unknown,0.0,tertiary
"Gopani/one Rei , a man of much cunning , who sought to discover whence sprang Gopani - Kufa 's power/O Gopani/Gopani - Kufa/Rei/Kufa--his family",83,1,0,1,Gopani's family,unknown,0.0,tertiary
the daughter of Gopani - Kufa,101,1,0,1,the daughter of Gopani - Kufa,unknown,0.0,tertiary
a man of much cunning,94,1,0,1,a man of much cunning,male,1.0,tertiary
the chief of the white men,104,1,0,1,the chief of the white men,male,1.0,tertiary
all men,90,1,0,1,all men,male,1.0,tertiary
"Gopani/one Rei , a man of much cunning , who sought to discover whence sprang Gopani - Kufa 's power/O Gopani/Gopani - Kufa/Rei/Kufa--his people",89,1,0,1,Gopani's people,unknown,0.0,tertiary
The Mirror,144,1,0,1,The Mirror,unknown,0.0,tertiary
Butou--O spirit of my father,146,1,0,1,Butou's spirit of my father,male,1.0,tertiary
an old man,148,1,0,1,an old man,male,1.0,tertiary
the White Men,11,1,0,1,the White Men,male,1.0,tertiary
the King of the Reptiles,82,1,0,1,the King of the Reptiles,male,1.0,tertiary
the father of Gopani - Kufa,55,1,0,1,the father of Gopani - Kufa,male,1.0,tertiary
neither creature,20,1,0,1,neither creature,unknown,0.0,tertiary
the dying antelope,24,1,0,1,the dying antelope,unknown,0.0,tertiary
man,120,1,0,1,man,male,1.0,tertiary
king,122,1,0,1,king,male,1.0,tertiary
women were bathing and fishing and boating,43,1,0,1,women were bathing and fishing and boating,female,1.0,tertiary
one returned from a long journey,47,1,0,1,one returned from a long journey,unknown,0.0,tertiary
Insato--my children,123,1,0,1,Insato's children,unknown,0.0,tertiary
"Gopani/one Rei , a man of much cunning , who sought to discover whence sprang Gopani - Kufa 's power/O Gopani/Gopani - Kufa/Rei/Kufa--the maidens who would wait upon him",54,1,0,1,Gopani's maidens who would wait upon him,female,1.0,tertiary
Insato--my friend,124,1,0,1,Insato's friend,unknown,0.0,tertiary
chief,81,1,0,1,chief,unknown,0.0,tertiary
O friend,126,1,0,1,O friend,unknown,0.0,tertiary
And the wasp,60,1,0,1,And the wasp,unknown,0.0,tertiary
daughter,66,1,0,1,daughter,unknown,0.0,tertiary
"Gopani/one Rei , a man of much cunning , who sought to discover whence sprang Gopani - Kufa 's power/O Gopani/Gopani - Kufa/Rei/Kufa--his father",69,1,0,1,Gopani's father,male,1.0,tertiary
a chief,134,1,0,1,a chief,unknown,0.0,tertiary
the King of Pita,136,1,0,1,the King of Pita,male,1.0,tertiary
women,75,1,0,1,women,female,1.0,tertiary
young boys,76,1,0,1,young boys,male,1.0,tertiary
Biz - z - z,133,1,0,1,Biz - z - z,unknown,0.0,tertiary
