sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
"An old man had an only son, named Iadilla, who had come to that age which is thought to be most proper to make the long and final fast which is to secure through life a guardian genius or spirit. ",come,BEFORE,"To accomplish his wish, he thought it necessary that the young Iadilla should fast a much longer time than any of those renowned for their power or wisdom, whose fame he coveted. ",fast,0,2,3,3
"To accomplish his wish, he thought it necessary that the young Iadilla should fast a much longer time than any of those renowned for their power or wisdom, whose fame he coveted. ",fast,BEFORE,He therefore directed his son to prepare with great ceremony for the important event. ,prepare,2,3,3,1
He therefore directed his son to prepare with great ceremony for the important event. ,prepare,AFTER,"After he had been several times in the sweating-lodge and bath, which were to prepare and purify him for communion with his good spirit, he ordered him to lie down upon a clean mat in a little lodge expressly provided for him. ",prepare,3,4,1,3
"After he had been several times in the sweating-lodge and bath, which were to prepare and purify him for communion with his good spirit, he ordered him to lie down upon a clean mat in a little lodge expressly provided for him. ",prepare,BEFORE,"He enjoined upon him at the same time to endure his fast like a man, and promised that at the expiration of twelve days he should receive food and the blessing of his father. ",promised,4,5,3,2
"He enjoined upon him at the same time to endure his fast like a man, and promised that at the expiration of twelve days he should receive food and the blessing of his father. ",promised,BEFORE,"The lad carefully observed the command, and lay with his face covered, calmly awaiting the approach of the spirit which was to decide his good or evil fortune for all the days of his life. ",lay,5,6,2,1
"The lad carefully observed the command, and lay with his face covered, calmly awaiting the approach of the spirit which was to decide his good or evil fortune for all the days of his life. ",lay,BEFORE,"Every morning his father came to the door of the little lodge and encouraged him to persevere, dwelling at length on the vast honor and renown that must ever attend him, should he accomplish the full term of trial allotted to him. ",encouraged,6,7,1,1
"Every morning his father came to the door of the little lodge and encouraged him to persevere, dwelling at length on the vast honor and renown that must ever attend him, should he accomplish the full term of trial allotted to him. ",encouraged,BEFORE,"To these glowing words of promise and glory the boy never replied, but he lay without the least sign of discontent or murmuring until the ninth day, when he addressed his father as follows: ""My father, my dreams forbode evil. ",addressed,7,8,1,3
"To these glowing words of promise and glory the boy never replied, but he lay without the least sign of discontent or murmuring until the ninth day, when he addressed his father as follows: ""My father, my dreams forbode evil. ",addressed,BEFORE,"May I break my fast now, and at a more favorable time make a new fast?"" ",break,8,9,3,1
"May I break my fast now, and at a more favorable time make a new fast?"" ",break,BEFORE,"The father answered: ""My son, you know not what you ask. ",know,9,10,1,1
"The father answered: ""My son, you know not what you ask. ",know,BEFORE,"If you get up now, all your glory will depart. ",depart,10,11,1,2
"If you get up now, all your glory will depart. ",depart,BEFORE,"You have but three days more, and your term will be completed. ",completed,11,13,2,3
"You have but three days more, and your term will be completed. ",completed,AFTER,"You know it is for your own good, and I encourage you to persevere. ",persevere,13,14,3,3
"You know it is for your own good, and I encourage you to persevere. ",persevere,BEFORE,"Shall not your aged father live to see you a star among the chieftains and the beloved of battle?"" ",see,14,15,3,2
"Shall not your aged father live to see you a star among the chieftains and the beloved of battle?"" ",see,AFTER,The son assented; ,assented,15,16,2,0
The son assented; ,assented,AFTER," and covering himself more closely, that he might shut out the light which prompted him to complain, he lay till the eleventh day, when he repeated his request. ",prompted,16,17,0,3
" and covering himself more closely, that he might shut out the light which prompted him to complain, he lay till the eleventh day, when he repeated his request. ",prompted,BEFORE,"The father addressed Iadilla as he had the day before, and promised that he would himself prepare his first meal, and bring it to him by the dawn of the morning. ",addressed,17,18,3,0
"The father addressed Iadilla as he had the day before, and promised that he would himself prepare his first meal, and bring it to him by the dawn of the morning. ",addressed,BEFORE,"The son moaned, and the father added: ""Will you bring shame upon your father when his sun is falling in the west?"" ",moaned,18,19,0,0
"The son moaned, and the father added: ""Will you bring shame upon your father when his sun is falling in the west?"" ",moaned,BEFORE,"""I will not shame you, my father,"" replied Iadilla; ",shame,19,20,0,1
"""I will not shame you, my father,"" replied Iadilla; ",shame,AFTER, and he lay so still and motionless that you could only know that he was living by the gentle heaving of his breast. ,lay,20,21,1,0
 and he lay so still and motionless that you could only know that he was living by the gentle heaving of his breast. ,lay,BEFORE,"At the spring of day, the next morning, the father, delighted at having gained his end, prepared a repast for his son, and hastened to set it before him. ",prepared,21,22,0,3
"At the spring of day, the next morning, the father, delighted at having gained his end, prepared a repast for his son, and hastened to set it before him. ",prepared,BEFORE,"On coming to the door of the little lodge, he was surprised to hear his son talking to himself. ",coming,22,23,3,0
"On coming to the door of the little lodge, he was surprised to hear his son talking to himself. ",coming,BEFORE,"He stooped his ear to listen, and, looking through a small opening, he was yet more astonished when he beheld his son painted with vermilion over all his breast, and in the act of finishing his work by laying on the paint as far back on his shoulders as he could reach with his hands, saying at the same time, to himself: ""My father has destroyed my fortune as a man. ",laying,23,24,0,7
"He stooped his ear to listen, and, looking through a small opening, he was yet more astonished when he beheld his son painted with vermilion over all his breast, and in the act of finishing his work by laying on the paint as far back on his shoulders as he could reach with his hands, saying at the same time, to himself: ""My father has destroyed my fortune as a man. ",laying,AFTER,He would not listen to my requests. ,listen,24,25,7,1
He would not listen to my requests. ,listen,AFTER,He has urged me beyond my tender strength. ,urged,25,26,1,1
He has urged me beyond my tender strength. ,urged,BEFORE,"Though not propitious to me in the manner I desired, he has shown me pity in another way--he has given me another shape; ",shown,26,30,1,2
"Though not propitious to me in the manner I desired, he has shown me pity in another way--he has given me another shape; ",shown,BEFORE," and now I must go."" ",go,30,31,2,1
" and now I must go."" ",go,AFTER,"At this moment the old man broke in, exclaiming: ""My son! ",exclaiming,31,32,1,1
"At this moment the old man broke in, exclaiming: ""My son! ",exclaiming,BEFORE,"I pray you leave me not!"" ",pray,32,34,1,0
"I pray you leave me not!"" ",pray,AFTER,"But the young man, with the quickness of a bird, had flown to the top of the lodge and perched himself on the highest pole, having been changed into a beautiful robin red-breast. ",changed,34,35,0,5
"But the young man, with the quickness of a bird, had flown to the top of the lodge and perched himself on the highest pole, having been changed into a beautiful robin red-breast. ",changed,BEFORE,"He looked down upon his father with pity beaming in his eyes, and addressed him as follows: ""Regret not, my father, the change you behold. ",addressed,35,36,5,1
"He looked down upon his father with pity beaming in his eyes, and addressed him as follows: ""Regret not, my father, the change you behold. ",addressed,AFTER," and although I could not gratify your wishes as a warrior, it will be my daily aim to make you amends for it as a harbinger of peace and joy. ",gratify,36,40,1,1
" and although I could not gratify your wishes as a warrior, it will be my daily aim to make you amends for it as a harbinger of peace and joy. ",gratify,BEFORE,"I will cheer you by my songs, and strive to inspire in others the joy and lightsomeness of heart I feel in my present state. ",inspire,40,41,1,3
"I will cheer you by my songs, and strive to inspire in others the joy and lightsomeness of heart I feel in my present state. ",inspire,AFTER,This will be some compensation to you for the loss of glory you expected. ,expected,41,42,3,2
This will be some compensation to you for the loss of glory you expected. ,expected,BEFORE,"My food is spontaneously furnished by the mountains and fields, and my pathway of life is in the bright air."" ",furnished,42,44,2,1
"My food is spontaneously furnished by the mountains and fields, and my pathway of life is in the bright air."" ",furnished,BEFORE,"Then stretching himself on his toes, as if delighted with the gift of wings, Iadilla caroled one of his sweetest songs, and flew away into a neighboring wood.",caroled,44,45,1,1
