sentence1,event1,te_rel,sentence2,event2,s_id,s_id2,e_id,e_id2
"There was a man called Odshedoph, or the Child of Strong Desires, who had a wife and one son. ",had,BEFORE,"He had withdrawn his family from the village, where they had spent the winter, to the neighborhood of a distant forest, where game abounded. ",withdrawn,0,1,2,1
"He had withdrawn his family from the village, where they had spent the winter, to the neighborhood of a distant forest, where game abounded. ",withdrawn,BEFORE,"This wood was a day's travel from his winter home, and under its ample shadow the wife fixed the lodge, while the husband went out to hunt. ",fixed,1,2,1,1
"This wood was a day's travel from his winter home, and under its ample shadow the wife fixed the lodge, while the husband went out to hunt. ",fixed,BEFORE,"This wood was a day's travel from his winter home, and under its ample shadow the wife fixed the lodge, while the husband went out to hunt. ",hunt,2,2,1,3
"This wood was a day's travel from his winter home, and under its ample shadow the wife fixed the lodge, while the husband went out to hunt. ",hunt,BEFORE,"Early in the evening he returned with a deer, and, being weary and athirst, he asked his son, whom he called Strong Desire, to go to the river for some water. ",returned,2,3,3,0
"Early in the evening he returned with a deer, and, being weary and athirst, he asked his son, whom he called Strong Desire, to go to the river for some water. ",returned,BEFORE,"Early in the evening he returned with a deer, and, being weary and athirst, he asked his son, whom he called Strong Desire, to go to the river for some water. ",asked,3,3,0,2
"Early in the evening he returned with a deer, and, being weary and athirst, he asked his son, whom he called Strong Desire, to go to the river for some water. ",asked,BEFORE,"Early in the evening he returned with a deer, and, being weary and athirst, he asked his son, whom he called Strong Desire, to go to the river for some water. ",called,3,3,2,3
"Early in the evening he returned with a deer, and, being weary and athirst, he asked his son, whom he called Strong Desire, to go to the river for some water. ",called,BEFORE,"The son replied that it was dark, and he was afraid. ",replied,3,4,3,0
"The son replied that it was dark, and he was afraid. ",replied,BEFORE,"His father still urged him, saying that his mother, as well as himself, was tired, and the distance to the water very short. ",urged,4,5,0,0
"His father still urged him, saying that his mother, as well as himself, was tired, and the distance to the water very short. ",urged,BEFORE,"His father still urged him, saying that his mother, as well as himself, was tired, and the distance to the water very short. ",saying,5,5,0,1
"His father still urged him, saying that his mother, as well as himself, was tired, and the distance to the water very short. ",saying,BEFORE,But no persuasion could overcome the young man's reluctance. ,overcome,5,6,1,1
But no persuasion could overcome the young man's reluctance. ,overcome,BEFORE,He refused to go. ,refused,6,7,1,0
He refused to go. ,refused,BEFORE,He refused to go. ,go,7,7,0,1
He refused to go. ,go,BEFORE,"""Ah, my son,"" said the father, at last, ""if you are afraid to go to the river, you will never kill the Red Head."" ",said,7,8,1,0
"""Ah, my son,"" said the father, at last, ""if you are afraid to go to the river, you will never kill the Red Head."" ",said,AFTER,"""Ah, my son,"" said the father, at last, ""if you are afraid to go to the river, you will never kill the Red Head."" ",kill,8,8,0,4
"""Ah, my son,"" said the father, at last, ""if you are afraid to go to the river, you will never kill the Red Head."" ",kill,AFTER,The stripling was deeply vexed by this observation; ,vexed,8,9,4,1
The stripling was deeply vexed by this observation; ,vexed,BEFORE, it seemed to touch him to the very quick. ,seemed,9,10,1,0
 it seemed to touch him to the very quick. ,seemed,AFTER, it seemed to touch him to the very quick. ,touch,10,10,0,1
 it seemed to touch him to the very quick. ,touch,BEFORE,He mused in silence. ,mused,10,11,1,0
He mused in silence. ,mused,BEFORE,"He refused to eat, and made no reply when spoken to. ",refused,11,12,0,0
"He refused to eat, and made no reply when spoken to. ",refused,BEFORE,"He refused to eat, and made no reply when spoken to. ",eat,12,12,0,1
"He refused to eat, and made no reply when spoken to. ",eat,BEFORE,"He refused to eat, and made no reply when spoken to. ",made,12,12,1,2
"He refused to eat, and made no reply when spoken to. ",made,AFTER,"He sat by the lodge door all the night through, looking up at the stars, and sighing like one sorely distressed. ",sat,12,13,2,0
"He sat by the lodge door all the night through, looking up at the stars, and sighing like one sorely distressed. ",sat,BEFORE,"He sat by the lodge door all the night through, looking up at the stars, and sighing like one sorely distressed. ",looking,13,13,0,1
"He sat by the lodge door all the night through, looking up at the stars, and sighing like one sorely distressed. ",looking,BEFORE,"The next day he asked his mother to dress the skin of the deer, and to make it into moccasins for him, while he busied himself in preparing a bow and arrows. ",asked,13,14,1,0
"The next day he asked his mother to dress the skin of the deer, and to make it into moccasins for him, while he busied himself in preparing a bow and arrows. ",asked,BEFORE,"The next day he asked his mother to dress the skin of the deer, and to make it into moccasins for him, while he busied himself in preparing a bow and arrows. ",dress,14,14,0,1
"The next day he asked his mother to dress the skin of the deer, and to make it into moccasins for him, while he busied himself in preparing a bow and arrows. ",dress,BEFORE,"The next day he asked his mother to dress the skin of the deer, and to make it into moccasins for him, while he busied himself in preparing a bow and arrows. ",make,14,14,1,2
"The next day he asked his mother to dress the skin of the deer, and to make it into moccasins for him, while he busied himself in preparing a bow and arrows. ",make,AFTER,"The next day he asked his mother to dress the skin of the deer, and to make it into moccasins for him, while he busied himself in preparing a bow and arrows. ",busied,14,14,2,3
"The next day he asked his mother to dress the skin of the deer, and to make it into moccasins for him, while he busied himself in preparing a bow and arrows. ",busied,BEFORE,"The next day he asked his mother to dress the skin of the deer, and to make it into moccasins for him, while he busied himself in preparing a bow and arrows. ",preparing,14,14,3,4
"The next day he asked his mother to dress the skin of the deer, and to make it into moccasins for him, while he busied himself in preparing a bow and arrows. ",preparing,BEFORE,"As soon as these were in readiness, he left the lodge one morning, at sunrise, without saying a word to his father or mother. ",left,14,15,4,1
"As soon as these were in readiness, he left the lodge one morning, at sunrise, without saying a word to his father or mother. ",left,BEFORE,"As soon as these were in readiness, he left the lodge one morning, at sunrise, without saying a word to his father or mother. ",saying,15,15,1,2
"As soon as these were in readiness, he left the lodge one morning, at sunrise, without saying a word to his father or mother. ",saying,BEFORE,"As he passed along, he fired one of his arrows into the air, which fell westward. ",fired,15,16,2,1
"As he passed along, he fired one of his arrows into the air, which fell westward. ",fired,BEFORE,"He took that course, and coming to the spot where the arrow had fallen, he was rejoiced to find it piercing the heart of a deer. ",took,16,17,1,0
"He took that course, and coming to the spot where the arrow had fallen, he was rejoiced to find it piercing the heart of a deer. ",took,BEFORE,"He took that course, and coming to the spot where the arrow had fallen, he was rejoiced to find it piercing the heart of a deer. ",coming,17,17,0,1
"He took that course, and coming to the spot where the arrow had fallen, he was rejoiced to find it piercing the heart of a deer. ",coming,BEFORE,"He took that course, and coming to the spot where the arrow had fallen, he was rejoiced to find it piercing the heart of a deer. ",rejoiced,17,17,1,5
"He took that course, and coming to the spot where the arrow had fallen, he was rejoiced to find it piercing the heart of a deer. ",rejoiced,BEFORE,"He took that course, and coming to the spot where the arrow had fallen, he was rejoiced to find it piercing the heart of a deer. ",find,17,17,5,6
"He took that course, and coming to the spot where the arrow had fallen, he was rejoiced to find it piercing the heart of a deer. ",find,BEFORE,"He refreshed himself with a meal of the venison, and the next morning he fired another arrow. ",refreshed,17,18,6,0
"He refreshed himself with a meal of the venison, and the next morning he fired another arrow. ",refreshed,BEFORE,"He refreshed himself with a meal of the venison, and the next morning he fired another arrow. ",fired,18,18,0,1
"He refreshed himself with a meal of the venison, and the next morning he fired another arrow. ",fired,BEFORE,"Following its course, after traveling all day he found that he had transfixed another deer. ",found,18,19,1,2
"Following its course, after traveling all day he found that he had transfixed another deer. ",found,AFTER,"Following its course, after traveling all day he found that he had transfixed another deer. ",transfixed,19,19,2,4
"Following its course, after traveling all day he found that he had transfixed another deer. ",transfixed,BEFORE,"In this manner he fired four arrows, and every evening he discovered that he had killed a deer. ",fired,19,20,4,0
"In this manner he fired four arrows, and every evening he discovered that he had killed a deer. ",fired,BEFORE,"In this manner he fired four arrows, and every evening he discovered that he had killed a deer. ",discovered,20,20,0,1
"In this manner he fired four arrows, and every evening he discovered that he had killed a deer. ",discovered,AFTER,"In this manner he fired four arrows, and every evening he discovered that he had killed a deer. ",killed,20,20,1,3
"In this manner he fired four arrows, and every evening he discovered that he had killed a deer. ",killed,BEFORE,"By a strange oversight, he left the arrows sticking in the carcasses, and passed on without withdrawing them. ",left,20,21,3,0
"By a strange oversight, he left the arrows sticking in the carcasses, and passed on without withdrawing them. ",left,BEFORE,"By a strange oversight, he left the arrows sticking in the carcasses, and passed on without withdrawing them. ",withdrawing,21,21,0,3
"By a strange oversight, he left the arrows sticking in the carcasses, and passed on without withdrawing them. ",withdrawing,BEFORE,"At last he threw himself upon the earth in despair, concluding that he might as well perish there as go further. ",threw,21,23,3,0
"At last he threw himself upon the earth in despair, concluding that he might as well perish there as go further. ",threw,BEFORE,"At last he threw himself upon the earth in despair, concluding that he might as well perish there as go further. ",concluding,23,23,0,1
"At last he threw himself upon the earth in despair, concluding that he might as well perish there as go further. ",concluding,BEFORE,"At last he threw himself upon the earth in despair, concluding that he might as well perish there as go further. ",go,23,23,1,3
"At last he threw himself upon the earth in despair, concluding that he might as well perish there as go further. ",go,AFTER,"But he had not lain long before he heard a hollow rumbling noise, in the ground beneath him, like that of an earthquake moving slowly along. ",lain,23,24,3,1
"But he had not lain long before he heard a hollow rumbling noise, in the ground beneath him, like that of an earthquake moving slowly along. ",lain,BEFORE,"But he had not lain long before he heard a hollow rumbling noise, in the ground beneath him, like that of an earthquake moving slowly along. ",heard,24,24,1,2
"But he had not lain long before he heard a hollow rumbling noise, in the ground beneath him, like that of an earthquake moving slowly along. ",heard,BEFORE,"He sprang up, and discovered at a distance the figure of a human being, walking with a stick. ",discovered,24,25,2,1
"He sprang up, and discovered at a distance the figure of a human being, walking with a stick. ",discovered,AFTER,"He sprang up, and discovered at a distance the figure of a human being, walking with a stick. ",walking,25,25,1,2
"He sprang up, and discovered at a distance the figure of a human being, walking with a stick. ",walking,BEFORE,"He looked attentively, and saw that the figure was walking in a wide beaten path in a prairie, leading from a dusky lodge to a lake, whose waters were black and turbid. ",looked,25,26,2,0
"He looked attentively, and saw that the figure was walking in a wide beaten path in a prairie, leading from a dusky lodge to a lake, whose waters were black and turbid. ",looked,BEFORE,"He looked attentively, and saw that the figure was walking in a wide beaten path in a prairie, leading from a dusky lodge to a lake, whose waters were black and turbid. ",saw,26,26,0,1
"He looked attentively, and saw that the figure was walking in a wide beaten path in a prairie, leading from a dusky lodge to a lake, whose waters were black and turbid. ",saw,AFTER,"To his surprise, this lodge, which had not been in view when he cast himself upon the ground, was now near at hand. ",cast,26,27,1,2
"To his surprise, this lodge, which had not been in view when he cast himself upon the ground, was now near at hand. ",cast,BEFORE,"He approached a little nearer, and concealed himself; ",approached,27,28,2,0
"He approached a little nearer, and concealed himself; ",approached,BEFORE,"He approached a little nearer, and concealed himself; ",concealed,28,28,0,1
"He approached a little nearer, and concealed himself; ",concealed,BEFORE," and in a moment he discovered that the figure was no other than that of the terrible witch, the little old woman who makes war. ",discovered,28,29,1,0
" and in a moment he discovered that the figure was no other than that of the terrible witch, the little old woman who makes war. ",discovered,AFTER,"Her path to the lake was perfectly smooth and solid, and the noise Strong Desire had heard was caused by the striking of her walking staff upon the ground. ",heard,29,30,0,2
"Her path to the lake was perfectly smooth and solid, and the noise Strong Desire had heard was caused by the striking of her walking staff upon the ground. ",heard,AFTER,"Her path to the lake was perfectly smooth and solid, and the noise Strong Desire had heard was caused by the striking of her walking staff upon the ground. ",caused,30,30,2,4
"Her path to the lake was perfectly smooth and solid, and the noise Strong Desire had heard was caused by the striking of her walking staff upon the ground. ",caused,BEFORE,"She entered her lodge and laid off her mantle, which was entirely composed of the scalps of women. ",entered,30,32,4,0
"She entered her lodge and laid off her mantle, which was entirely composed of the scalps of women. ",entered,BEFORE,"Before folding it, she shook it several times, and at every shake the scalps uttered loud shouts of laughter, in which the old hag joined. ",folding,32,33,0,0
"Before folding it, she shook it several times, and at every shake the scalps uttered loud shouts of laughter, in which the old hag joined. ",folding,AFTER,"Before folding it, she shook it several times, and at every shake the scalps uttered loud shouts of laughter, in which the old hag joined. ",shook,33,33,0,1
"Before folding it, she shook it several times, and at every shake the scalps uttered loud shouts of laughter, in which the old hag joined. ",shook,BEFORE,"Before folding it, she shook it several times, and at every shake the scalps uttered loud shouts of laughter, in which the old hag joined. ",uttered,33,33,1,2
"Before folding it, she shook it several times, and at every shake the scalps uttered loud shouts of laughter, in which the old hag joined. ",uttered,BEFORE,"Before folding it, she shook it several times, and at every shake the scalps uttered loud shouts of laughter, in which the old hag joined. ",joined,33,33,2,3
"Before folding it, she shook it several times, and at every shake the scalps uttered loud shouts of laughter, in which the old hag joined. ",joined,BEFORE,"The boy, who lingered at the door, was greatly alarmed, but he uttered no cry. ",uttered,33,34,3,2
"The boy, who lingered at the door, was greatly alarmed, but he uttered no cry. ",uttered,BEFORE,"After laying by the cloak, she came directly to him. ",came,34,35,2,1
"After laying by the cloak, she came directly to him. ",came,BEFORE,"Looking at him steadily, she informed him that she had known him from the time he had left his father's lodge, and had watched his movements. ",Looking,35,36,1,0
"Looking at him steadily, she informed him that she had known him from the time he had left his father's lodge, and had watched his movements. ",Looking,BEFORE,"Looking at him steadily, she informed him that she had known him from the time he had left his father's lodge, and had watched his movements. ",informed,36,36,0,1
"Looking at him steadily, she informed him that she had known him from the time he had left his father's lodge, and had watched his movements. ",informed,AFTER,"Looking at him steadily, she informed him that she had known him from the time he had left his father's lodge, and had watched his movements. ",known,36,36,1,3
"Looking at him steadily, she informed him that she had known him from the time he had left his father's lodge, and had watched his movements. ",known,AFTER,"Looking at him steadily, she informed him that she had known him from the time he had left his father's lodge, and had watched his movements. ",left,36,36,3,5
"Looking at him steadily, she informed him that she had known him from the time he had left his father's lodge, and had watched his movements. ",left,BEFORE,"Looking at him steadily, she informed him that she had known him from the time he had left his father's lodge, and had watched his movements. ",watched,36,36,5,7
"Looking at him steadily, she informed him that she had known him from the time he had left his father's lodge, and had watched his movements. ",watched,BEFORE,"She told him not to fear or despair, for she would be his protector and friend. ",told,36,37,7,0
"She told him not to fear or despair, for she would be his protector and friend. ",told,BEFORE,"She told him not to fear or despair, for she would be his protector and friend. ",fear,37,37,0,1
